Time_Val,Time_sec,Heart_Rate,Sound,Light,Phone_Active,Trust Factor,User_Attention
23:29:09,1230,95,35,82,0,1,1
23:29:10,1231,94,35,82,0,1,1
23:29:11,1232,94,32,82,0,1,1
23:29:12,1233,94,36,82,0,1,1
23:29:13,1234,94,35,82,0,1,1
23:29:14,1235,94,35,82,0,1,1
23:29:15,1236,94,34,82,0,1,1
23:29:16,1237,94,33,82,0,1,1
23:29:17,1238,94,33,82,0,1,1
23:29:18,1239,94,36,82,0,1,1
23:29:19,1240,94,34,82,0,1,1
23:29:20,1241,102,34,82,0,1,1
23:29:21,1242,102,36,82,0,1,1
23:29:22,1243,102,34,82,0,1,1
23:29:23,1244,102,35,82,0,1,1
23:29:24,1245,102,37,82,0,1,1
23:29:25,1246,102,34,82,0,1,1
23:29:26,1247,102,35,82,0,1,1
23:29:27,1248,102,35,82,0,1,1
23:29:28,1249,102,34,82,0,1,1
23:29:29,1250,102,36,82,0,1,1
23:29:30,1251,99,36,82,0,1,1
23:29:31,1252,99,34,82,0,1,1
23:29:32,1253,99,36,82,0,1,1
23:29:33,1254,99,36,82,0,1,1
23:29:34,1255,98,35,82,0,1,1
23:29:35,1256,97,35,82,0,1,1
23:29:36,1257,96,36,82,0,1,1
23:29:37,1258,96,35,82,0,1,1
23:29:38,1259,95,35,82,0,1,1
23:29:39,1260,94,36,82,0,1,1
23:29:40,1261,94,34,82,0,1,1
23:29:41,1262,93,34,82,0,1,1
23:29:42,1263,92,31,82,0,1,1
23:29:43,1264,92,34,82,0,1,1
23:29:44,1265,92,35,82,0,1,1
23:29:45,1266,92,35,82,0,1,1
23:29:46,1267,92,32,82,0,1,1
23:29:47,1268,92,36,82,0,1,1
23:29:48,1269,92,36,82,0,1,1
23:29:49,1270,92,35,82,0,1,1
23:29:50,1271,88,36,82,0,1,1
23:29:51,1272,88,37,82,0,1,1
23:29:52,1273,88,36,82,0,1,1
23:29:53,1274,88,37,82,0,1,1
23:29:54,1275,88,35,82,0,1,1
23:29:55,1276,88,36,82,0,1,1
23:29:56,1277,88,36,82,0,1,1
23:29:57,1278,88,35,82,0,1,1
23:29:58,1279,88,34,82,0,1,1
23:29:59,1280,88,35,82,0,1,1
23:30:00,1281,102,34,82,0,1,1
23:30:01,1282,102,34,82,0,1,1
23:30:02,1283,102,35,82,0,1,1
23:30:03,1284,102,33,82,0,1,1
23:30:04,1285,102,35,82,0,1,1
23:30:05,1286,102,33,82,0,1,1
23:30:06,1287,102,33,82,0,1,1
23:30:07,1288,102,35,82,0,1,1
23:30:08,1289,102,32,82,0,1,1
23:30:09,1290,102,32,82,0,1,1
23:30:10,1291,99,34,82,0,1,1
23:30:11,1292,99,35,82,0,1,1
