Time_Val,Time_sec,Heart_Rate,Sound,Light,Phone_Active
18:11:39,948,63,34,37,0
18:11:40,949,63,35,37,0
18:11:41,950,63,35,37,0
18:11:42,951,63,36,37,0
18:11:43,952,63,35,37,0
18:11:44,953,63,35,37,0
18:11:45,954,63,35,37,0
18:11:46,955,63,35,37,0
18:11:47,956,63,46,37,0
18:11:48,957,63,34,37,0
18:11:49,958,63,37,37,0
18:11:50,959,63,35,37,0
18:11:51,960,63,35,37,0
18:11:52,961,64,32,37,0
18:11:53,962,64,33,37,0
18:11:54,963,64,35,37,0
18:11:55,964,64,32,37,0
18:11:56,965,64,34,37,0
18:11:57,966,64,33,37,0
18:11:58,967,64,36,37,0
18:11:59,968,64,35,37,0
18:12:00,969,63,33,37,0
18:12:01,970,63,32,37,0
18:12:02,971,63,32,37,0
18:12:03,972,66,33,37,0
18:12:04,973,66,35,37,0
18:12:05,974,66,33,37,0
18:12:06,975,67,33,37,0
18:12:07,976,67,31,37,0
18:12:08,977,67,32,37,0
18:12:09,978,65,32,37,0
18:12:10,979,65,35,4,0
18:12:11,980,65,37,7,0
18:12:12,981,65,39,4,0
18:12:13,982,65,36,8,0
18:12:14,983,65,35,8,0
18:12:15,984,64,36,11,0
18:12:16,985,64,36,16,0
18:12:17,986,64,35,16,0
18:12:18,987,63,36,16,0
18:12:19,988,63,37,19,0
18:12:20,989,63,36,17,0
18:12:21,990,63,35,15,0
18:12:22,991,63,36,15,0
18:12:23,992,63,36,15,0
18:12:24,993,64,36,15,0
18:12:25,994,64,39,10,0
18:12:26,995,62,36,18,0
18:12:27,996,62,38,16,0
18:12:28,997,62,36,16,0
18:12:29,998,62,36,16,0
18:12:30,999,61,36,16,0
18:12:31,1000,61,36,16,0
18:12:32,1001,61,36,15,0
18:12:33,1002,61,36,7,0
18:12:34,1003,60,38,14,0
18:12:35,1004,60,44,19,0
18:12:36,1005,60,36,19,0
18:12:37,1006,61,40,21,0
18:12:38,1007,61,35,21,0
18:12:39,1008,61,36,21,0
18:12:40,1009,61,36,21,0
18:12:41,1010,61,36,21,0
18:12:42,1011,61,35,21,0
18:12:43,1012,62,35,21,0
18:12:44,1013,62,34,19,0
18:12:45,1014,62,34,19,0
18:12:46,1015,61,33,19,0
18:12:47,1016,61,32,19,0
18:12:48,1017,61,33,19,0
18:12:49,1018,61,38,10,0
18:12:50,1019,61,33,10,0
18:12:51,1020,61,34,10,0
18:12:52,1021,62,33,10,0
18:12:53,1022,62,34,9,0
18:12:54,1023,62,34,9,0
18:12:55,1024,62,34,9,0
18:12:56,1025,62,36,8,0
18:12:57,1026,62,38,9,0
18:12:58,1027,61,37,9,0
18:12:59,1028,61,38,9,0
18:13:00,1029,61,37,9,0
18:13:01,1030,61,38,9,0
18:13:02,1031,61,37,9,0
18:13:03,1032,60,37,9,0
18:13:04,1033,60,38,9,0
18:13:05,1034,60,38,16,0
18:13:06,1035,60,38,16,0
18:13:07,1036,60,39,16,0
18:13:08,1037,60,38,16,0
18:13:09,1038,61,39,16,0
18:13:10,1039,61,38,16,0
18:13:11,1040,61,38,16,0
18:13:12,1041,61,38,16,0
18:13:13,1042,60,38,16,0
18:13:14,1043,60,38,16,0
18:13:15,1044,60,38,16,0
18:13:16,1045,61,41,16,0
18:13:17,1046,61,37,16,0
18:13:18,1047,61,37,16,0
18:13:19,1048,60,37,16,0
18:13:20,1049,60,37,16,0
18:13:21,1050,60,37,16,0
18:13:22,1051,60,36,16,0
18:13:23,1052,61,35,16,0
18:13:24,1053,61,35,16,0
18:13:25,1054,61,35,16,0
18:13:26,1055,61,34,16,0
18:13:27,1056,61,35,16,0
18:13:28,1057,61,33,16,0
18:13:29,1058,61,35,16,0
18:13:30,1059,62,36,16,0
18:13:31,1060,62,38,20,0
18:13:32,1061,62,36,20,0
18:13:33,1062,62,36,20,0
18:13:34,1063,62,37,20,0
18:13:35,1064,62,34,17,0
18:13:36,1065,62,35,19,0
18:13:37,1066,62,34,19,0
18:13:38,1067,62,34,19,0
18:13:39,1068,62,35,19,0
18:13:40,1069,62,37,19,0
18:13:41,1070,62,36,19,0
18:13:42,1071,62,36,19,0
18:13:43,1072,63,36,19,0
18:13:44,1073,63,36,19,0
18:13:45,1074,63,37,19,0
18:13:46,1075,62,37,19,0
18:13:47,1076,62,38,19,0
18:13:48,1077,62,38,19,0
18:13:49,1078,61,38,17,0
18:13:50,1079,62,38,17,0
18:13:51,1080,62,39,17,0
18:13:52,1081,62,39,17,0
18:13:53,1082,63,39,17,0
18:13:54,1083,63,39,17,0
18:13:55,1084,63,39,17,0
18:13:56,1085,69,41,17,0
18:13:57,1086,69,39,19,0
18:13:58,1087,69,38,19,0
18:13:59,1088,70,37,19,0
18:14:00,1089,70,37,19,0
18:14:01,1090,70,37,19,0
18:14:02,1091,70,36,19,0
18:14:03,1092,68,41,19,0
18:14:04,1093,68,43,19,0
18:14:05,1094,68,40,19,0
18:14:06,1095,66,39,136,0
18:14:07,1096,66,32,136,0
18:14:08,1097,66,40,119,0
18:14:09,1098,66,34,31,0
18:14:10,1099,66,34,31,0
18:14:11,1100,66,31,31,0
18:14:12,1101,66,38,31,0
