HEART RATE DATE/TIME,VALUE
 11:43:00 PM,102
 11:43:03 PM,102
 11:43:06 PM,102
 11:43:09 PM,102
 11:43:10 PM,103
 11:43:13 PM,103
 11:43:16 PM,103
 11:43:19 PM,103
 11:43:20 PM,104
 11:43:23 PM,104
 11:43:26 PM,104
 11:43:29 PM,104
 11:43:30 PM,104
 11:43:33 PM,104
 11:43:36 PM,104
 11:43:39 PM,104
 11:43:40 PM,105
 11:43:43 PM,105
 11:43:50 PM,104
 11:43:53 PM,104
 11:43:56 PM,104
 11:43:59 PM,104
 11:44:02 PM,104
 11:44:05 PM,104
 11:44:07 PM,107
 11:44:09 PM,106
 11:44:12 PM,106
 11:44:15 PM,105
 11:44:18 PM,105
 11:44:21 PM,105
 11:44:24 PM,105
 11:44:27 PM,105
 11:44:30 PM,103
 11:44:33 PM,103
 11:44:36 PM,103
 11:44:39 PM,103
 11:44:40 PM,104
 11:44:43 PM,104
 11:44:46 PM,104
 11:44:49 PM,104
 11:44:50 PM,100
 11:44:53 PM,100
 11:44:56 PM,100
 11:44:59 PM,100
 11:45:02 PM,101
 11:45:03 PM,101
 11:45:06 PM,101
 11:45:09 PM,101
 11:45:12 PM,101
 11:45:15 PM,101
 11:45:18 PM,101
 11:45:21 PM,101
 11:45:24 PM,101
 11:45:27 PM,101
 11:45:30 PM,100
 11:45:33 PM,101
 11:45:34 PM,102
 11:45:36 PM,103
 11:45:39 PM,103
 11:45:42 PM,103
 11:45:45 PM,103
 11:45:48 PM,103
 11:45:50 PM,102
 11:45:53 PM,102
 11:45:56 PM,102
 11:45:59 PM,102
 11:46:00 PM,97
 11:46:03 PM,97
 11:46:06 PM,97
 11:46:09 PM,97
 11:46:10 PM,107
 11:46:14 PM,108
 11:46:17 PM,107
 11:46:19 PM,107
 11:46:22 PM,107
 11:46:25 PM,107
 11:46:28 PM,107
 11:46:31 PM,107
 11:46:34 PM,107
 11:46:37 PM,107
 11:46:40 PM,108
 11:46:43 PM,108
 11:46:46 PM,108
 11:46:49 PM,108
 11:46:52 PM,108
 11:46:55 PM,108
 11:46:58 PM,108
 11:47:01 PM,108
 11:47:04 PM,108
 11:47:07 PM,108
 11:47:10 PM,105
 11:47:13 PM,105
 11:47:16 PM,105
 11:47:19 PM,105
 11:47:20 PM,101
 11:47:23 PM,101
 11:47:26 PM,101
 11:47:29 PM,101
 11:47:30 PM,97
 11:47:33 PM,97
 11:47:36 PM,97
 11:47:39 PM,97
 11:47:40 PM,92
 11:47:43 PM,92
 11:47:46 PM,92
 11:47:49 PM,92
 11:47:50 PM,92
 11:47:53 PM,92
 11:47:56 PM,92
 11:47:59 PM,92
 11:48:00 PM,95
 11:48:03 PM,95
 11:48:06 PM,95
 11:48:09 PM,95
 11:48:10 PM,96
 11:48:13 PM,96
 11:48:16 PM,96
 11:48:19 PM,96
 11:48:20 PM,96
 11:48:23 PM,96
 11:48:26 PM,96
 11:48:29 PM,96
 11:48:30 PM,95
 11:48:33 PM,95
 11:48:36 PM,95
 11:48:40 PM,96
 11:48:42 PM,96
 11:48:45 PM,96
 11:48:48 PM,96
 11:48:51 PM,96
 11:48:54 PM,96
 11:48:57 PM,96
 11:49:00 PM,96
 11:49:03 PM,96
 11:49:06 PM,96
 11:49:09 PM,96
 11:49:10 PM,96
 11:49:13 PM,96
 11:49:16 PM,96
 11:49:19 PM,96
 11:49:20 PM,104
 11:49:23 PM,104
 11:49:26 PM,103
 11:49:29 PM,103
 11:49:31 PM,104
 11:49:32 PM,105
 11:49:33 PM,106
 11:49:34 PM,107
 11:49:37 PM,106
 11:49:39 PM,105
 11:49:40 PM,104
 11:49:41 PM,103
 11:49:42 PM,102
 11:49:43 PM,102
 11:49:46 PM,102
 11:49:49 PM,102
