Time_Val,Time_sec,Heart_Rate,Sound,Light,Phone_Active,User_Attention
18:01:59,368,64,34,37,0,3
18:02:00,369,64,33,37,0,3
18:02:01,370,64,33,37,0,3
18:02:02,371,64,39,37,0,3
18:02:03,372,63,34,37,0,3
18:02:04,373,63,35,37,0,3
18:02:05,374,63,33,37,0,3
18:02:06,375,63,34,37,0,3
18:02:07,376,63,36,37,0,3
18:02:08,377,63,40,37,0,3
18:02:09,378,63,34,37,0,3
18:02:10,379,63,35,37,0,3
18:02:11,380,63,41,37,0,3
18:02:12,381,63,45,37,0,3
18:02:13,382,63,41,37,0,3
18:02:14,383,63,41,37,0,3
18:02:15,384,63,44,37,0,3
18:02:16,385,63,35,37,0,3
18:02:17,386,63,44,37,0,3
18:02:18,387,65,42,37,0,3
18:02:19,388,65,45,37,0,3
18:02:20,389,65,43,37,0,3
18:02:21,390,65,36,37,0,3
18:02:22,391,65,34,37,0,3
18:02:23,392,65,34,37,0,3
18:02:24,393,65,34,37,0,3
18:02:25,394,65,38,37,0,3
18:02:26,395,65,35,37,0,3
18:02:27,396,65,42,15,0,3
18:02:28,397,65,34,15,0,3
18:02:29,398,65,34,8,0,3
18:02:30,399,64,53,33,0,3
18:02:31,400,64,41,33,0,3
18:02:32,401,64,33,39,0,3
18:02:33,402,64,38,39,0,3
18:02:34,403,64,38,34,0,3
18:02:35,404,64,34,34,0,3
18:02:36,405,64,41,34,0,3
18:02:37,406,64,34,34,0,3
18:02:38,407,65,38,34,0,3
18:02:39,408,66,42,34,0,3
18:02:40,409,67,37,21,0,3
18:02:41,410,68,36,27,0,3
18:02:42,411,67,34,31,0,3
18:02:43,412,67,35,5,0,3
18:02:44,413,67,36,13,0,3
18:02:45,414,67,33,13,0,3
18:02:46,415,67,33,13,0,3
18:02:47,416,67,34,13,0,3
18:02:48,417,67,34,13,0,3
18:02:49,418,67,32,13,0,3
18:02:50,419,67,34,13,0,3
18:02:51,420,67,33,13,0,3
18:02:52,421,67,41,13,0,3
18:02:53,422,67,34,13,0,3
18:02:54,423,67,35,13,0,3
18:02:55,424,67,36,13,0,3
18:02:56,425,67,39,13,0,3
18:02:57,426,67,36,13,0,3
18:02:58,427,67,39,13,0,3
18:02:59,428,67,35,13,0,3
18:03:00,429,68,35,13,0,3
18:03:01,430,68,34,13,0,3
18:03:02,431,69,35,13,0,3
