LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z,LIGHT (lux),PROXIMITY (m),SOUND LEVEL (dB),YYYY-MO-DD HH-MI-SS_SSS
-0.009,0.0376,0.0113,41.8438,2,44.453,14:57:30:941
-0.0319,0.0269,-0.0583,43,2,41.714,14:57:31:939
0.0152,0.0032,-0.0401,42.1719,2,45.677,14:57:32:941
-2.00E-04,-0.0267,0.0589,42.5832,2,38.06,14:57:33:939
0.0371,0.0224,-0.0312,42,2,42.125,14:57:34:939
-0.0131,0.0139,5.00E-04,42.4235,2,43.459,14:57:35:938
-0.0228,-0.0062,-0.0038,43,2,45.34,14:57:36:939
0.0191,0.024,-0.0307,42.4256,2,46.187,14:57:37:938
0.0045,0.0063,0.0258,41.8283,2,45.218,14:57:38:939
0.0106,0.0131,-0.0064,42.5816,2,50.137,14:57:39:939
0.0204,-0.0057,-0.0015,42.4186,2,49.894,14:57:40:938
0.0182,-0.063,0.0463,42,2,48.561,14:57:41:938
0.0516,0.0138,-0.0243,41.8426,2,46.009,14:57:42:938
0.0171,-0.0134,-0.0542,42,2,50.421,14:57:43:939
0.0122,0.0079,0.0096,41.8315,2,49.869,14:57:44:939
0.0113,0.0043,0.0413,42.1455,2,49.062,14:57:45:938
0.0137,0.0273,-0.0792,42.1665,2,37.071,14:57:46:941
-0.0262,0.0382,0.0092,42.4221,2,44.517,14:57:47:939
0.0122,-0.006,0.0303,42.5938,2,47.298,14:57:48:939
-0.0127,0.0087,-0.0198,43,2,48.59,14:57:49:938
-0.0068,-0.0074,0.015,42.1664,2,42.108,14:57:50:939
-0.0031,-0.0483,-0.0204,41.8211,2,48.666,14:57:51:939
-0.0018,-0.0179,0.0714,42.5767,2,48.647,14:57:52:938
-0.0034,0.0336,0.0755,42.4228,2,44.551,14:57:53:941
0.027,-0.0129,-0.0421,42.1614,2,42.524,14:57:54:938
-0.0333,0.0142,-0.0267,42.5816,2,47.089,14:57:55:939
0.004,3.00E-04,-0.0949,42.1568,2,43.681,14:57:56:938
-0.0014,-0.0132,0.0535,42.4249,2,43.454,14:57:57:938
-0.0213,0.0017,0.0079,42.4074,2,39.712,14:57:58:938
-0.0026,-7.00E-04,-0.0471,42.4233,2,44.885,14:57:59:939
-0.0129,-0.021,-0.006,42.4099,2,41.596,14:58:00:939
-0.0136,0.0146,0.0036,42.5887,2,46.202,14:58:01:939
0.0223,0.0253,-0.0232,41.8409,2,45.105,14:58:02:939
0.0076,0.0227,0.0037,42.1824,2,47.127,14:58:03:939
0.0053,-0.0554,0.023,42.4119,2,47.76,14:58:04:938
-0.0235,0.0329,0.0129,43,2,48.694,14:58:05:939
-0.0217,0.0345,0.0729,42,2,47.557,14:58:06:939
-0.0019,0.0217,-0.0161,42.4161,2,48.394,14:58:07:940
-0.0193,-0.0103,-0.0279,42.5819,2,47.633,14:58:08:938
0.0109,0.0157,0.0058,41.7777,2,51.378,14:58:09:938
0.0012,0.0154,0.0642,42,2,46.603,14:58:10:939
-0.0336,0.0252,0.0808,42.5789,2,41.776,14:58:11:938
0.0134,-0.0083,0.048,42,2,47.942,14:58:12:939
-0.0182,0.0022,-0.0108,43,2,47.773,14:58:13:938
-0.0087,0.014,-0.0043,42.5885,2,49.892,14:58:14:939
-0.0054,0.0131,0.0068,42.5847,2,42.602,14:58:15:939
-0.0179,-0.0304,-0.0172,42.171,2,49.074,14:58:16:940
-0.0044,0.0073,0.0701,42.1757,2,47.842,14:58:17:939
0.0171,-0.026,0.0115,42.1676,2,51.494,14:58:18:942
0.0098,-0.0096,0.0186,41.3979,2,42.559,14:58:19:939
-0.0165,-0.0136,0.0449,41.3979,2,47.132,14:58:20:938
0.007,0.0453,0.001,41.582,2,47.401,14:58:21:939
-0.0112,-0.0117,0.0553,41.8289,2,48.181,14:58:22:938
-0.0088,0.0063,0.0457,41.8374,2,49.207,14:58:23:938
0.0025,0.0297,-0.0329,42.5738,2,45.915,14:58:24:938
0.0071,0.0042,0.0194,42.5728,2,44.761,14:58:25:937
-0.0219,0.0031,0.0401,42.5728,2,49.412,14:58:26:938
