LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z,LIGHT (lux),PROXIMITY (m),ATMOSPHERIC PRESSURE (hPa),TEMPERATURE (C),SOUND LEVEL (dB),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.0375,0.043,0.1099,84.61,5,1007.63,27.9,52.338,264033,23:13:04:663
0.0046,-0.0351,-0.0282,84.61,5,1007.63,27.8,53.372,265032,23:13:05:662
0.0314,0.0081,0.1076,84.61,5,1007.63,27.8,51.856,266032,23:13:06:662
0.0207,0.003,-0.0558,84.61,5,1007.65,27.8,54.101,267032,23:13:07:662
0.0086,0.0344,-0.0216,84.61,5,1007.62,27.8,51.146,268032,23:13:08:662
-0.0508,-0.0243,-0.0517,84.61,5,1007.64,27.8,51.282,269032,23:13:09:662
-0.0046,0.0172,0.0587,84.61,5,1007.63,27.8,45.223,270032,23:13:10:662
0.0363,-0.0129,0.014,84.61,5,1007.64,27.8,39.748,271032,23:13:11:662
0.0181,-0.0089,-0.0013,84.61,5,1007.64,27.8,41.61,272032,23:13:12:662
-0.0188,-0.0075,-0.0507,84.61,5,1007.62,27.8,44.785,273032,23:13:13:662
0.0234,-0.0323,-0.037,84.61,5,1007.64,27.8,36.31,274033,23:13:14:663
0.0048,0.0097,0.0084,84.61,5,1007.75,27.8,34.331,275032,23:13:15:662
0.0352,0.0629,0.0143,84.61,5,1007.79,27.8,33.864,276032,23:13:16:662
0.0067,-0.0094,0.0269,84.61,5,1007.75,27.8,33.382,277032,23:13:17:662
0.0098,-0.0321,-1.00E-04,84.61,5,1007.71,27.9,33.826,278032,23:13:18:662
-0.0135,0.0112,0.0039,84.61,5,1007.68,27.9,35.925,279033,23:13:19:663
-0.0064,-0.0073,0.0399,84.61,5,1007.65,27.8,35.468,280032,23:13:20:662
0.0411,-0.0244,0.0537,84.61,5,1007.65,27.8,44.17,281032,23:13:21:662
0.0171,0.0334,-0.0249,84.61,5,1007.63,27.8,35.145,282032,23:13:22:662
0.0273,-0.0311,-0.0286,84.61,5,1007.62,27.8,43.6,283032,23:13:23:662
-0.0533,-0.0823,-0.0134,84.61,5,1007.62,27.8,44.374,284033,23:13:24:663
0.0453,0.0644,0.0318,84.61,5,1007.79,27.8,45.17,285032,23:13:25:662
-0.0079,-0.0082,0.041,84.61,5,1007.85,27.9,35.315,286032,23:13:26:662
0.0312,0.0012,0.0458,84.61,5,1007.77,27.9,41.581,287032,23:13:27:662
